x	y	u	v
0.0310078	0.0775194	-0.000397755	0.00115249
0.0310078	0.0852713	-0.000400071	0.00128997
0.0310078	0.0930233	-0.000402532	0.00142832
0.0310078	0.100775	-0.000405203	0.00156761
0.0310078	0.108527	-0.000408118	0.00170792
0.0310078	0.116279	-0.000411291	0.00184935
0.0310078	0.124031	-0.000414734	0.00199199
0.0310078	0.131783	-0.000418452	0.00213593
0.0310078	0.139535	-0.000422449	0.00228127
0.0310078	0.147287	-0.00042673	0.0024281
0.0310078	0.155039	-0.000431299	0.00257651
0.0310078	0.162791	-0.00043616	0.00272662
0.0310078	0.170543	-0.000441319	0.00287852
0.0310078	0.178295	-0.00044678	0.00303231
0.0310078	0.186047	-0.000452548	0.00318809
0.0310078	0.193798	-0.000458629	0.00334598
0.0310078	0.20155	-0.000465029	0.00350608
0.0310078	0.209302	-0.000471754	0.00366851
0.0310078	0.217054	-0.000478811	0.00383336
0.0310078	0.224806	-0.000486207	0.00400077
0.0310078	0.232558	-0.00049395	0.00417084
0.0310078	0.24031	-0.000502047	0.00434371
0.0310078	0.248062	-0.000510508	0.00451948
0.0310078	0.255814	-0.000519341	0.00469829
0.0310078	0.263566	-0.000528557	0.00488027
0.0310078	0.271318	-0.000538164	0.00506555
0.0310078	0.27907	-0.000548175	0.00525426
0.0310078	0.286822	-0.0005586	0.00544656
0.0310078	0.294574	-0.000569452	0.00564258
0.0310078	0.302326	-0.000580744	0.00584247
0.0310078	0.310078	-0.000592489	0.00604638
0.0310078	0.317829	-0.000604702	0.00625449
0.0310078	0.325581	-0.000617398	0.00646694
0.0310078	0.333333	-0.000630594	0.00668391
0.0310078	0.341085	-0.000644308	0.00690557
0.0310078	0.348837	-0.000658557	0.00713211
0.0310078	0.356589	-0.000673363	0.00736372
0.0310078	0.364341	-0.000688744	0.00760059
0.0310078	0.372093	-0.000704725	0.00784291
0.0310078	0.379845	-0.000721329	0.00809092
0.0310078	0.387597	-0.000738581	0.00834482
0.0310078	0.395349	-0.000756508	0.00860484
0.0310078	0.403101	-0.00077514	0.00887122
0.0310078	0.410853	-0.000794508	0.00914421
0.0310078	0.418605	-0.000814644	0.00942407
0.0310078	0.426357	-0.000835585	0.00971108
0.0310078	0.434109	-0.000857368	0.0100055
0.0310078	0.44186	-0.000880034	0.0103077
0.0310078	0.449612	-0.000903628	0.0106179
0.0310078	0.457364	-0.000928195	0.0109364
0.0310078	0.465116	-0.000953788	0.0112637
0.0310078	0.472868	-0.00098046	0.0116001
0.0310078	0.48062	-0.00100827	0.0119459
0.0310078	0.488372	-0.00103728	0.0123016
0.0310078	0.496124	-0.00106757	0.0126675
0.0310078	0.503876	-0.0010992	0.0130443
0.0310078	0.511628	-0.00113225	0.0134322
0.0310078	0.51938	-0.00116682	0.0138319
0.0310078	0.527132	-0.00120299	0.0142438
0.0310078	0.534884	-0.00124088	0.0146686
0.0310078	0.542636	-0.00128058	0.0151069
0.0310078	0.550388	-0.00132223	0.0155593
0.0310078	0.55814	-0.00136596	0.0160264
0.0310078	0.565891	-0.00141192	0.0165092
0.0310078	0.573643	-0.00146025	0.0170082
0.0310078	0.581395	-0.00151115	0.0175245
0.0310078	0.589147	-0.00156479	0.0180589
0.0310078	0.596899	-0.0016214	0.0186123
0.0310078	0.604651	-0.0016812	0.019186
0.0310078	0.612403	-0.00174445	0.0197809
0.0310078	0.620155	-0.00181144	0.0203984
0.0310078	0.627907	-0.00188249	0.0210397
0.0310078	0.635659	-0.00195793	0.0217064
0.0310078	0.643411	-0.00203817	0.0224001
0.0310078	0.651163	-0.00212364	0.0231223
0.0310078	0.658915	-0.00221483	0.0238751
0.0310078	0.666667	-0.00231227	0.0246605
0.0310078	0.674419	-0.00241659	0.0254807
0.0310078	0.682171	-0.00252848	0.0263382
0.0310078	0.689922	-0.00264871	0.0272358
0.0310078	0.697674	-0.00277817	0.0281763
0.0310078	0.705426	-0.00291787	0.0291632
0.0310078	0.713178	-0.00306896	0.0302002
0.0310078	0.72093	-0.00323275	0.0312913
0.0310078	0.728682	-0.00341075	0.0324411
0.0310078	0.736434	-0.0036047	0.0336546
0.0310078	0.744186	-0.00381662	0.0349378
0.0310078	0.751938	-0.00404886	0.0362969
0.0310078	0.75969	-0.00430414	0.0377393
0.0310078	0.767442	-0.00458569	0.0392732
0.0310078	0.775194	-0.0048973	0.0409082
0.0310078	0.782946	-0.00524348	0.0426548
0.0310078	0.790698	-0.00562959	0.0445254
0.0310078	0.79845	-0.00606209	0.0465344
0.0310078	0.806202	-0.00654877	0.048698
0.0310078	0.813953	-0.00709913	0.0510355
0.0310078	0.821705	-0.00772481	0.0535693
0.0310078	0.829457	-0.0084402	0.0563257
0.0310078	0.837209	-0.00926322	0.0593358
0.0310078	0.844961	-0.0102164	0.0626368
0.0310078	0.852713	-0.0113284	0.0662728
0.0310078	0.860465	-0.0126355	0.0702969
0.0310078	0.868217	-0.014185	0.0747733
0.0310078	0.875969	-0.0160378	0.0797793
0.0310078	0.883721	-0.0182736	0.0854086
0.0310078	0.891473	-0.020996	0.0917742
0.0310078	0.899225	-0.0243399	0.0990102
0.0310078	0.906977	-0.0284778	0.107273
0.0310078	0.914729	-0.0336237	0.116735
0.0310078	0.922481	-0.0400259	0.127567
0.0310078	0.930233	-0.047932	0.139896
0.0310078	0.937984	-0.0574877	0.153703
0.0310078	0.945736	-0.0684895	0.168627
0.0310078	0.953488	-0.0798312	0.183569
0.0310078	0.96124	-0.0883266	0.196003
0.0310078	0.968992	-0.0863407	0.200883
0.0310078	0.976744	-0.0573475	0.189487
0.0310078	0.984496	0.0312689	0.150124
0.0310078	0.992248	0.235604	0.0771322
0.0387597	0.00775194	-3.68344e-06	3.44173e-05
0.0387597	0.0155039	-0.000285956	0.0001251
0.0387597	0.0232558	-0.000417011	0.000241937
0.0387597	0.0310078	-0.000478153	0.00037102
0.0387597	0.0387597	-0.000507072	0.000505949
0.0387597	0.0465116	-0.000521241	0.000643805
0.0387597	0.0542636	-0.000528758	0.000783285
0.0387597	0.0620155	-0.00053338	0.000923833
0.0387597	0.0697674	-0.000536849	0.00106524
0.0387597	0.0775194	-0.000539973	0.00120746
0.0387597	0.0852713	-0.000543129	0.00135052
0.0387597	0.0930233	-0.000546493	0.00149448
0.0387597	0.100775	-0.000550147	0.00163942
0.0387597	0.108527	-0.000554132	0.00178544
0.0387597	0.116279	-0.00055847	0.00193261
0.0387597	0.124031	-0.000563171	0.00208105
0.0387597	0.131783	-0.000568244	0.00223084
0.0387597	0.139535	-0.000573695	0.00238209
0.0387597	0.147287	-0.00057953	0.00253489
0.0387597	0.155039	-0.000585755	0.00268935
0.0387597	0.162791	-0.000592375	0.00284556
0.0387597	0.170543	-0.000599397	0.00300364
0.0387597	0.178295	-0.000606827	0.00316369
0.0387597	0.186047	-0.000614674	0.00332581
0.0387597	0.193798	-0.000622943	0.00349013
0.0387597	0.20155	-0.000631643	0.00365674
0.0387597	0.209302	-0.000640784	0.00382577
0.0387597	0.217054	-0.000650373	0.00399733
0.0387597	0.224806	-0.00066042	0.00417155
0.0387597	0.232558	-0.000670937	0.00434854
0.0387597	0.24031	-0.000681933	0.00452842
0.0387597	0.248062	-0.000693421	0.00471133
0.0387597	0.255814	-0.000705412	0.0048974
0.0387597	0.263566	-0.00071792	0.00508677
0.0387597	0.271318	-0.000730958	0.00527956
0.0387597	0.27907	-0.000744541	0.00547593
0.0387597	0.286822	-0.000758684	0.00567601
0.0387597	0.294574	-0.000773405	0.00587996
0.0387597	0.302326	-0.00078872	0.00608794
0.0387597	0.310078	-0.000804648	0.0063001
0.0387597	0.317829	-0.000821208	0.00651661
0.0387597	0.325581	-0.000838422	0.00673763
0.0387597	0.333333	-0.000856311	0.00696335
0.0387597	0.341085	-0.000874899	0.00719394
0.0387597	0.348837	-0.000894211	0.00742959
0.0387597	0.356589	-0.000914274	0.0076705
0.0387597	0.364341	-0.000935116	0.00791687
0.0387597	0.372093	-0.000956766	0.00816892
0.0387597	0.379845	-0.000979258	0.00842685
0.0387597	0.387597	-0.00100263	0.00869089
0.0387597	0.395349	-0.00102691	0.00896129
0.0387597	0.403101	-0.00105214	0.00923828
0.0387597	0.410853	-0.00107836	0.00952213
0.0387597	0.418605	-0.00110562	0.00981311
0.0387597	0.426357	-0.00113396	0.0101115
0.0387597	0.434109	-0.00116345	0.0104176
0.0387597	0.44186	-0.00119412	0.0107317
0.0387597	0.449612	-0.00122604	0.0110541
0.0387597	0.457364	-0.00125928	0.0113851
0.0387597	0.465116	-0.0012939	0.0117253
0.0387597	0.472868	-0.00132997	0.0120748
0.0387597	0.48062	-0.00136757	0.0124341
0.0387597	0.488372	-0.0014068	0.0128036
