
# Surface 0 of 1 surfaces

# Curve title: ""Figures/Transient_3_contourtmp0.dat""

# Contour 0, label:    1e-07
 0.596899  0.964876 -0.03 
 0.604651  0.964945 -0.03 
 0.612403  0.965011 -0.03 
 0.620155  0.965074 -0.03 
 0.627907  0.965133 -0.03 
 0.635659  0.965189 -0.03 
 0.643411  0.965242 -0.03 
 0.651163  0.96529 -0.03 
 0.658915  0.965334 -0.03 
 0.666667  0.965372 -0.03 
 0.674419  0.965406 -0.03 
 0.682171  0.965433 -0.03 
 0.689922  0.965453 -0.03 
 0.697674  0.965466 -0.03 
 0.705426  0.96547 -0.03 
 0.713178  0.965466 -0.03 
 0.72093  0.965451 -0.03 
 0.728682  0.965426 -0.03 
 0.736434  0.965388 -0.03 
 0.744186  0.965336 -0.03 
 0.751938  0.96527 -0.03 
 0.75969  0.965188 -0.03 
 0.767442  0.965087 -0.03 
 0.775194  0.964966 -0.03 
 0.782946  0.964823 -0.03 
 0.790698  0.964654 -0.03 
 0.79845  0.964459 -0.03 
 0.806202  0.964231 -0.03 
 0.813953  0.963969 -0.03 
 0.821705  0.963667 -0.03 
 0.829457  0.963319 -0.03 
 0.837209  0.962919 -0.03 
 0.844961  0.962457 -0.03 
 0.852713  0.961923 -0.03 
 0.860465  0.961303 -0.03 
 0.861159  0.96124 -0.03 
 0.868217  0.9605 -0.03 
 0.875969  0.959536 -0.03 
 0.883721  0.958371 -0.03 
 0.891473  0.956941 -0.03 
 0.899225  0.95515 -0.03 
 0.904922  0.953488 -0.03 
 0.906977  0.95273 -0.03 

# Contour 12, label: 
 0.511628  0.546846 -0.03 
 0.503876  0.548915 -0.03 
 0.498846  0.550388 -0.03 
 0.496124  0.551184 -0.03 
 0.488372  0.553645 -0.03 
 0.48062  0.556328 -0.03 
 0.475765  0.55814 -0.03 
 0.472868  0.559221 -0.03 
 0.465116  0.562317 -0.03 
 0.457364  0.565651 -0.03 
 0.456835  0.565891 -0.03 
 0.449612  0.569179 -0.03 
 0.44186  0.572955 -0.03 
 0.440519  0.573643 -0.03 
 0.434109  0.576942 -0.03 
 0.426357  0.581183 -0.03 
 0.425986  0.581395 -0.03 
 0.418605  0.58564 -0.03 
 0.412837  0.589147 -0.03 
 0.410853  0.590358 -0.03 
 0.403101  0.59532 -0.03 
 0.400746  0.596899 -0.03 
 0.395349  0.600535 -0.03 
 0.389526  0.604651 -0.03 
 0.387597  0.606022 -0.03 
 0.379845  0.611776 -0.03 
 0.379033  0.612403 -0.03 
 0.372093  0.617796 -0.03 
 0.369183  0.620155 -0.03 
 0.364341  0.624105 -0.03 
 0.359866  0.627907 -0.03 
 0.356589  0.630708 -0.03 
 0.351019  0.635659 -0.03 
 0.348837  0.637611 -0.03 
 0.342592  0.643411 -0.03 
 0.341085  0.64482 -0.03 
 0.334542  0.651163 -0.03 
 0.333333  0.652343 -0.03 
 0.326832  0.658915 -0.03 
 0.325581  0.660188 -0.03 
 0.319428  0.666667 -0.03 
 0.317829  0.668363 -0.03 
 0.312303  0.674419 -0.03 
 0.310078  0.676875 -0.03 
 0.305432  0.682171 -0.03 
 0.302326  0.685736 -0.03 
 0.298792  0.689922 -0.03 
 0.294574  0.694953 -0.03 
 0.292362  0.697674 -0.03 
 0.286822  0.704538 -0.03 
 0.286127  0.705426 -0.03 
 0.280083  0.713178 -0.03 
 0.27907  0.714485 -0.03 
 0.274215  0.72093 -0.03 
 0.271318  0.724803 -0.03 
 0.268499  0.728682 -0.03 
 0.263566  0.735515 -0.03 
 0.262921  0.736434 -0.03 
 0.257498  0.744186 -0.03 
 0.255814  0.746606 -0.03 
 0.252204  0.751938 -0.03 
 0.248062  0.758097 -0.03 
 0.247019  0.75969 -0.03 
 0.241962  0.767442 -0.03 
 0.24031  0.769986 -0.03 
 0.237016  0.775194 -0.03 
 0.232558  0.782291 -0.03 
 0.232157  0.782946 -0.03 
 0.227422  0.790698 -0.03 
 0.224806  0.79501 -0.03 
 0.22277  0.79845 -0.03 
 0.218208  0.806202 -0.03 
 0.217054  0.808174 -0.03 
 0.213751  0.813953 -0.03 
 0.209359  0.821705 -0.03 
 0.209302  0.821806 -0.03 
 0.205097  0.829457 -0.03 
 0.20155  0.835981 -0.03 
 0.200896  0.837209 -0.03 
 0.196826  0.844961 -0.03 
 0.193798  0.850825 -0.03 
 0.192841  0.852713 -0.03 
 0.189007  0.860465 -0.03 
 0.186047  0.866626 -0.03 
 0.185293  0.868217 -0.03 
 0.181794  0.875969 -0.03 
 0.178479  0.883721 -0.03 
 0.178295  0.884201 -0.03 
 0.175521  0.891473 -0.03 
 0.172949  0.899225 -0.03 
 0.17094  0.906977 -0.03 
 0.170543  0.909792 -0.03 
 0.169833  0.914729 -0.03 
 0.170072  0.922481 -0.03 
 0.170543  0.924113 -0.03 
 0.172592  0.930233 -0.03 
 0.178295  0.937126 -0.03 
 0.179146  0.937984 -0.03 
 0.186047  0.941982 -0.03 

# Contour 13, label: 
 0.930673  0.868217 -0.03 
 0.930233  0.865131 -0.03 
 0.929547  0.860465 -0.03 
 0.928267  0.852713 -0.03 
 0.926859  0.844961 -0.03 
 0.925323  0.837209 -0.03 
 0.923658  0.829457 -0.03 
 0.922481  0.824375 -0.03 
 0.921844  0.821705 -0.03 
 0.919878  0.813953 -0.03 
 0.917782  0.806202 -0.03 
 0.915546  0.79845 -0.03 
 0.914729  0.795764 -0.03 
 0.913139  0.790698 -0.03 
 0.910578  0.782946 -0.03 
 0.907862  0.775194 -0.03 
 0.906977  0.772772 -0.03 
 0.904958  0.767442 -0.03 
 0.90188  0.75969 -0.03 
 0.899225  0.753332 -0.03 
 0.898619  0.751938 -0.03 
 0.895144  0.744186 -0.03 
 0.891484  0.736434 -0.03 
 0.891473  0.736411 -0.03 
 0.887576  0.728682 -0.03 
 0.883721  0.721386 -0.03 
 0.883468  0.72093 -0.03 
 0.879088  0.713178 -0.03 
 0.875969  0.707847 -0.03 
 0.874473  0.705426 -0.03 
 0.869587  0.697674 -0.03 
 0.868217  0.695539 -0.03 
 0.864401  0.689922 -0.03 
